Index,Biomass species,M,Ash ,VM,FC,C,H,O,N,PS,FT,HR,FR,Solid phase,Liquid phase,Gas phase,FR_disponible,H_C,O_C,FT_squared
447,tobacco residues,20.74,24.16,80.67,26.43,64.65,19.2,53.1,15.05,150.0,500,7.0,400.0,46.16,24.31,29.53,1,3.5387618311052176,0.6166124941973605,250000
448,tobacco residues,21.74,25.16,81.67,27.43,65.65,20.2,54.1,16.05,150.0,550,7.0,400.0,42.02,26.62,31.36,1,3.6663614163614153,0.6186554786102159,302500
449,tobacco residues,22.74,26.16,82.67,28.43,66.65,21.2,55.1,17.05,150.0,700,7.0,400.0,34.12,23.81,42.08,1,3.790132056823729,0.6206371581644706,490000
464,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,350,10.0,100.0,39.7,31.69,28.52,1,1.9844286199328214,1.0114937155561017,122500
465,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,400,10.0,100.0,38.34,32.29,29.28,1,1.9844286199328214,1.0114937155561017,160000
466,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,450,10.0,100.0,37.69,32.53,29.83,1,1.9844286199328214,1.0114937155561017,202500
467,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,500,10.0,100.0,37.17,32.86,30.04,1,1.9844286199328214,1.0114937155561017,250000
468,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,550,10.0,100.0,36.58,31.59,31.9,1,1.9844286199328214,1.0114937155561017,302500
469,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,350,30.0,100.0,38.13,32.27,29.6,1,1.9844286199328214,1.0114937155561017,122500
470,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,400,30.0,100.0,37.58,32.94,29.53,1,1.9844286199328214,1.0114937155561017,160000
471,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,450,30.0,100.0,36.41,33.31,30.27,1,1.9844286199328214,1.0114937155561017,202500
472,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,500,30.0,100.0,35.89,33.8,30.34,1,1.9844286199328214,1.0114937155561017,250000
473,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,550,30.0,100.0,35.53,32.61,31.9,1,1.9844286199328214,1.0114937155561017,302500
474,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,350,50.0,100.0,37.63,33.37,29.0,1,1.9844286199328214,1.0114937155561017,122500
475,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,400,50.0,100.0,36.77,33.65,29.58,1,1.9844286199328214,1.0114937155561017,160000
476,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,450,50.0,100.0,36.12,33.86,30.04,1,1.9844286199328214,1.0114937155561017,202500
477,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,500,50.0,100.0,34.61,34.61,30.71,1,1.9844286199328214,1.0114937155561017,250000
478,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,550,50.0,100.0,33.88,32.92,33.15,1,1.9844286199328214,1.0114937155561017,302500
479,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,500,50.0,100.0,34.7,34.89,30.63,1,1.9844286199328214,1.0114937155561017,250000
480,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.26,500,50.0,100.0,35.47,33.67,31.12,1,1.9844286199328214,1.0114937155561017,250000
481,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.36,500,50.0,100.0,35.4,32.94,31.23,1,1.9844286199328214,1.0114937155561017,250000
482,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.63,500,50.0,100.0,36.36,32.86,31.06,1,1.9844286199328214,1.0114937155561017,250000
483,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,500,50.0,100.0,34.74,34.43,31.03,1,1.9844286199328214,1.0114937155561017,250000
484,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,500,50.0,150.0,32.73,35.21,31.34,1,1.9844286199328214,1.0114937155561017,250000
485,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,500,50.0,200.0,33.04,35.98,31.03,1,1.9844286199328214,1.0114937155561017,250000
486,Lampranthus spectabilis,5.6,4.6,74.8,14.3,39.27,6.54,52.91,1.28,0.2,500,50.0,250.0,32.42,33.2,34.28,1,1.9844286199328214,1.0114937155561017,250000
487,Lampranthus spectabilis,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,1.33,400,300.0,25.0,41.98,39.5,18.53,1,1.4879641845361575,0.5893137092399332,160000
488,Lampranthus spectabilis,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,1.33,500,300.0,25.0,34.95,48.79,16.25,1,1.4879641845361575,0.5893137092399332,250000
489,Lampranthus spectabilis,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,1.33,550,300.0,25.0,32.95,43.21,23.85,1,1.4879641845361575,0.5893137092399332,302500
490,Lampranthus spectabilis,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,1.33,700,300.0,25.0,29.47,51.19,19.34,1,1.4879641845361575,0.5893137092399332,490000
491,Lampranthus spectabilis,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,1.33,400,300.0,100.0,41.18,39.2,19.62,1,1.4879641845361575,0.5893137092399332,160000
492,Lampranthus spectabilis,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,1.33,500,300.0,100.0,33.19,55.38,11.43,1,1.4879641845361575,0.5893137092399332,250000
493,Lampranthus spectabilis,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,1.33,550,300.0,100.0,31.93,57.69,10.38,1,1.4879641845361575,0.5893137092399332,302500
494,Lampranthus spectabilis,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,1.33,700,300.0,100.0,26.26,41.3,32.44,1,1.4879641845361575,0.5893137092399332,490000
495,Avocado seed ,9.75,1.43,74.8,14.3,41.98,6.77,50.58,0.66,0.5,400,50.0,30.0,26.75,28.1,45.15,1,1.9216083149950467,0.9045294666314453,160000
496,Avocado seed ,9.75,1.43,74.8,14.3,41.98,6.77,50.58,0.66,0.5,500,50.0,30.0,24.8,29.55,45.65,1,1.9216083149950467,0.9045294666314453,250000
497,Avocado seed ,9.75,1.43,74.8,14.3,41.98,6.77,50.58,0.66,0.5,600,50.0,30.0,22.95,36.45,40.65,1,1.9216083149950467,0.9045294666314453,360000
498,Avocado seed ,9.75,1.43,74.8,14.3,41.98,6.77,50.58,0.66,0.5,400,50.0,30.0,29.05,35.54,35.55,1,1.9216083149950467,0.9045294666314453,160000
499,Avocado seed ,9.75,1.43,74.8,14.3,41.98,6.77,50.58,0.66,0.5,500,50.0,30.0,27.5,36.6,35.9,1,1.9216083149950467,0.9045294666314453,250000
500,Avocado seed ,9.75,1.43,74.8,14.3,41.98,6.77,50.58,0.66,0.5,600,50.0,30.0,26.25,37.5,36.0,1,1.9216083149950467,0.9045294666314453,360000
501,Avocado seed ,9.75,1.43,74.8,14.3,41.98,6.77,50.58,0.66,0.5,400,50.0,30.0,27.85,27.4,44.75,1,1.9216083149950467,0.9045294666314453,160000
502,Avocado seed ,9.75,1.43,74.8,14.3,41.98,6.77,50.58,0.66,0.5,500,50.0,30.0,26.25,32.05,41.7,1,1.9216083149950467,0.9045294666314453,250000
503,Avocado seed ,9.75,1.43,74.8,14.3,41.98,6.77,50.58,0.66,0.5,600,50.0,30.0,24.25,34.0,43.25,1,1.9216083149950467,0.9045294666314453,360000
531,paulownia wood ,5.38,1.83,78.71,14.08,49.65,7.54,38.13,4.03,3.2,400,15.0,100.0,41.47,42.2,16.33,0,1.8095505842484692,0.5765458906136316,160000
532,paulownia wood ,5.38,1.83,78.71,14.08,49.65,7.54,38.13,4.03,3.2,500,15.0,100.0,29.83,54.04,16.13,0,1.8095505842484692,0.5765458906136316,250000
533,paulownia wood ,5.38,1.83,78.71,14.08,49.65,7.54,38.13,4.03,3.2,600,15.0,50.0,29.28,54.2,16.52,0,1.8095505842484692,0.5765458906136316,360000
534,paulownia wood ,5.38,1.83,78.71,14.08,49.65,7.54,38.13,4.03,3.2,800,15.0,50.0,27.87,52.07,20.06,0,1.8095505842484692,0.5765458906136316,640000
535,spirulina,8.45,13.99,65.48,12.08,39.26,6.11,47.71,6.65,0.75,450,100.0,30.0,31.7,42.91,25.68,1,1.8544261799642596,0.9123163326847001,202500
536,spirulina,8.45,13.99,65.48,12.08,39.26,6.11,47.71,6.65,0.75,500,100.0,30.0,32.49,43.28,24.19,1,1.8544261799642596,0.9123163326847001,250000
537,spirulina,8.45,13.99,65.48,12.08,39.26,6.11,47.71,6.65,0.75,550,100.0,30.0,31.41,47.18,23.73,1,1.8544261799642596,0.9123163326847001,302500
538,spirulina,8.45,13.99,65.48,12.08,39.26,6.11,47.71,6.65,0.75,600,100.0,30.0,32.0,42.57,27.43,1,1.8544261799642596,0.9123163326847001,360000
539,spirulina,5.57,0.36,80.9,15.2,46.8,6.3,46.9,19.4,0.75,350,15.0,100.0,37.0,39.7,23.3,0,1.6040331196581197,0.7523385542793005,122500
540,spirulina,5.57,0.36,80.9,15.2,46.8,6.3,46.9,19.4,0.75,400,15.0,100.0,35.9,40.0,24.1,0,1.6040331196581197,0.7523385542793005,160000
541,spirulina,5.57,0.36,80.9,15.2,46.8,6.3,46.9,19.4,0.75,450,15.0,100.0,30.3,44.1,25.6,0,1.6040331196581197,0.7523385542793005,202500
542,spirulina,5.57,0.36,80.9,15.2,46.8,6.3,46.9,19.4,0.75,500,15.0,100.0,28.0,45.3,26.7,0,1.6040331196581197,0.7523385542793005,250000
543,spirulina,5.57,0.36,80.9,15.2,46.8,6.3,46.9,19.4,0.75,550,15.0,100.0,26.2,48.0,27.8,0,1.6040331196581197,0.7523385542793005,302500
544,spirulina,5.57,0.36,80.9,15.2,46.8,6.3,46.9,19.4,0.75,600,15.0,50.0,25.2,45.7,29.1,0,1.6040331196581197,0.7523385542793005,360000
545,spirulina,3.52,0.42,79.7,14.4,52.7,6.5,40.8,22.5,0.75,350,15.0,100.0,42.5,35.7,21.8,0,1.4696752356856722,0.5812137452139144,122500
546,spirulina,3.52,0.42,79.7,14.4,52.7,6.5,40.8,22.5,0.75,400,15.0,100.0,35.5,38.3,26.2,0,1.4696752356856722,0.5812137452139144,160000
547,spirulina,3.52,0.42,79.7,14.4,52.7,6.5,40.8,22.5,0.75,450,15.0,100.0,31.2,39.5,29.3,0,1.4696752356856722,0.5812137452139144,202500
548,spirulina,3.52,0.42,79.7,14.4,52.7,6.5,40.8,22.5,0.75,500,15.0,100.0,28.7,41.1,30.2,0,1.4696752356856722,0.5812137452139144,250000
549,spirulina,3.52,0.42,79.7,14.4,52.7,6.5,40.8,22.5,0.75,550,15.0,100.0,27.9,40.5,31.6,0,1.4696752356856722,0.5812137452139144,302500
550,spirulina,3.52,0.42,79.7,14.4,52.7,6.5,40.8,22.5,0.75,600,15.0,50.0,28.5,39.8,31.7,0,1.4696752356856722,0.5812137452139144,360000
551,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,350,7.0,100.0,31.03,39.11,29.86,0,1.838092579934685,0.514091436934904,122500
552,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,400,7.0,100.0,29.73,41.18,29.09,0,1.838092579934685,0.514091436934904,160000
553,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,450,7.0,100.0,24.39,41.76,33.85,0,1.838092579934685,0.514091436934904,202500
554,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,500,7.0,100.0,24.03,45.44,30.53,0,1.838092579934685,0.514091436934904,250000
555,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,550,7.0,100.0,24.21,44.14,31.65,0,1.838092579934685,0.514091436934904,302500
556,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,700,7.0,50.0,22.64,42.57,34.79,0,1.838092579934685,0.514091436934904,490000
557,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,350,40.0,100.0,28.07,31.71,40.22,0,1.838092579934685,0.514091436934904,122500
558,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,400,40.0,100.0,24.61,36.2,39.19,0,1.838092579934685,0.514091436934904,160000
559,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,450,40.0,100.0,20.89,36.64,42.47,0,1.838092579934685,0.514091436934904,202500
560,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,500,40.0,100.0,21.07,39.25,39.69,0,1.838092579934685,0.514091436934904,250000
561,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,550,40.0,100.0,20.84,37.54,41.62,0,1.838092579934685,0.514091436934904,302500
562,rapeseed,4.0,5.5,82.6,7.9,52.25,8.06,35.78,3.91,0.53,700,40.0,50.0,20.08,35.57,44.35,0,1.838092579934685,0.514091436934904,490000
563,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,300,7.0,0.0,32.1,51.3,16.6,1,1.7777417754736304,0.5842409001369037,90000
564,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,400,7.0,0.0,29.2,53.2,17.6,1,1.7777417754736304,0.5842409001369037,160000
565,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,450,7.0,0.0,28.4,54.4,17.2,1,1.7777417754736304,0.5842409001369037,202500
566,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,520,7.0,0.0,28.0,53.4,18.6,1,1.7777417754736304,0.5842409001369037,270400
567,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,700,7.0,0.0,26.5,53.3,20.2,1,1.7777417754736304,0.5842409001369037,490000
568,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,900,7.0,0.0,26.0,52.9,21.1,1,1.7777417754736304,0.5842409001369037,810000
569,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,300,30.0,0.0,26.4,49.1,24.5,1,1.7777417754736304,0.5842409001369037,90000
570,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,400,30.0,0.0,26.2,49.4,24.4,1,1.7777417754736304,0.5842409001369037,160000
571,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,450,30.0,0.0,26.2,49.2,24.6,1,1.7777417754736304,0.5842409001369037,202500
572,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,520,30.0,0.0,25.8,50.8,23.4,1,1.7777417754736304,0.5842409001369037,270400
573,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,700,30.0,0.0,25.4,51.6,23.0,1,1.7777417754736304,0.5842409001369037,490000
574,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,900,30.0,0.0,24.9,51.6,23.5,1,1.7777417754736304,0.5842409001369037,810000
575,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,450,30.0,50.0,28.8,56.9,14.3,1,1.7777417754736304,0.5842409001369037,202500
576,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,450,30.0,100.0,29.0,59.3,11.7,1,1.7777417754736304,0.5842409001369037,202500
577,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,450,30.0,200.0,29.4,57.7,12.9,1,1.7777417754736304,0.5842409001369037,202500
578,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,450,30.0,400.0,29.0,57.2,13.8,1,1.7777417754736304,0.5842409001369037,202500
579,sunflower bagasse,5.0,6.9,73.8,14.3,49.6,7.4,38.6,4.4,1.13,450,30.0,600.0,29.4,58.3,12.3,1,1.7777417754736304,0.5842409001369037,202500
580,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,0.5,350,10.0,0.0,33.84,28.95,37.22,1,1.6978509863440727,0.8673823986509115,122500
581,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,0.5,400,10.0,0.0,31.39,30.33,38.28,1,1.6978509863440727,0.8673823986509115,160000
582,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,0.5,450,10.0,0.0,29.07,31.33,39.6,1,1.6978509863440727,0.8673823986509115,202500
583,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,0.5,500,10.0,0.0,27.27,33.37,39.36,1,1.6978509863440727,0.8673823986509115,250000
584,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,0.5,550,10.0,0.0,26.51,31.63,41.86,1,1.6978509863440727,0.8673823986509115,302500
585,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,0.5,350,30.0,0.0,31.36,31.03,37.61,1,1.6978509863440727,0.8673823986509115,122500
586,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,0.5,400,30.0,0.0,28.27,32.93,38.8,1,1.6978509863440727,0.8673823986509115,160000
587,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,0.5,450,30.0,0.0,27.38,33.67,38.95,1,1.6978509863440727,0.8673823986509115,202500
588,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,0.5,500,30.0,0.0,25.32,34.41,40.27,1,1.6978509863440727,0.8673823986509115,250000
589,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,0.5,550,30.0,0.0,24.95,33.33,41.73,1,1.6978509863440727,0.8673823986509115,302500
590,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,1.5,500,30.0,100.0,34.92,38.36,26.72,1,1.6978509863440727,0.8673823986509115,250000
591,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,2.5,500,30.0,150.0,37.44,36.47,26.09,1,1.6978509863440727,0.8673823986509115,250000
592,The sugar beet bagasse,9.84,3.68,74.45,12.03,42.67,6.08,49.3,1.95,3.5,500,30.0,200.0,39.83,35.59,24.58,1,1.6978509863440727,0.8673823986509115,250000
593,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,400,15.0,25.0,41.18,38.43,20.39,1,1.4879641845361575,0.5893137092399332,160000
594,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,500,15.0,25.0,33.64,58.44,7.92,1,1.4879641845361575,0.5893137092399332,250000
595,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,550,15.0,25.0,31.8,58.25,9.95,1,1.4879641845361575,0.5893137092399332,302500
596,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,700,15.0,25.0,26.46,39.57,33.97,1,1.4879641845361575,0.5893137092399332,490000
597,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,400,15.0,50.0,39.49,39.75,20.76,1,1.4879641845361575,0.5893137092399332,160000
598,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,500,15.0,50.0,30.62,59.95,9.43,1,1.4879641845361575,0.5893137092399332,250000
599,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,550,15.0,50.0,27.41,62.41,10.18,1,1.4879641845361575,0.5893137092399332,302500
600,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,700,15.0,50.0,24.76,41.83,33.41,1,1.4879641845361575,0.5893137092399332,490000
601,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,400,15.0,100.0,39.49,40.13,20.38,1,1.4879641845361575,0.5893137092399332,160000
602,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,500,15.0,100.0,30.24,60.14,9.62,1,1.4879641845361575,0.5893137092399332,250000
603,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,550,15.0,100.0,28.16,61.84,10.0,1,1.4879641845361575,0.5893137092399332,302500
604,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,700,15.0,100.0,21.56,41.82,36.62,1,1.4879641845361575,0.5893137092399332,490000
605,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,400,15.0,200.0,37.98,39.56,22.46,1,1.4879641845361575,0.5893137092399332,160000
606,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,500,15.0,200.0,29.11,58.81,12.08,1,1.4879641845361575,0.5893137092399332,250000
607,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,550,15.0,200.0,26.84,59.0,14.16,1,1.4879641845361575,0.5893137092399332,302500
608,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,700,15.0,200.0,21.56,42.58,35.86,1,1.4879641845361575,0.5893137092399332,490000
609,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,400,15.0,400.0,37.41,38.81,23.78,1,1.4879641845361575,0.5893137092399332,160000
610,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,500,15.0,400.0,47.0,38.85,14.15,1,1.4879641845361575,0.5893137092399332,250000
611,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,550,15.0,400.0,26.28,58.43,15.29,1,1.4879641845361575,0.5893137092399332,302500
612,sunflower,5.8,7.4,76.1,10.7,49.81,6.22,39.1,4.87,0.33,700,15.0,400.0,20.99,43.14,35.87,1,1.4879641845361575,0.5893137092399332,490000
631,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,400,10.0,0.0,40.48,43.84,15.67,1,1.6847144600233137,0.837298170188485,160000
632,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,500,10.0,0.0,33.45,49.1,17.45,1,1.6847144600233137,0.837298170188485,250000
633,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,600,10.0,0.0,30.42,47.71,21.87,1,1.6847144600233137,0.837298170188485,360000
634,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,700,10.0,0.0,25.34,45.88,28.78,1,1.6847144600233137,0.837298170188485,490000
635,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,400,40.0,0.0,35.33,48.24,16.43,1,1.6847144600233137,0.837298170188485,160000
636,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,500,40.0,0.0,31.42,48.24,20.43,1,1.6847144600233137,0.837298170188485,250000
637,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,600,40.0,0.0,28.78,47.44,23.78,1,1.6847144600233137,0.837298170188485,360000
638,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,700,40.0,0.0,24.32,46.64,29.04,1,1.6847144600233137,0.837298170188485,490000
639,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,500,40.0,50.0,34.27,48.85,16.88,1,1.6847144600233137,0.837298170188485,250000
640,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,500,40.0,100.0,33.59,48.29,18.12,1,1.6847144600233137,0.837298170188485,250000
641,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,500,40.0,150.0,31.42,48.24,20.34,1,1.6847144600233137,0.837298170188485,250000
642,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,500,40.0,200.0,30.69,38.47,30.8,1,1.6847144600233137,0.837298170188485,250000
643,Jute dust,5.34,9.65,72.11,12.9,43.71,6.18,48.75,1.38,0.75,500,40.0,250.0,28.73,37.6,33.67,1,1.6847144600233137,0.837298170188485,250000
644,straw and stalk,0.0,5.87,75.55,18.58,45.17,5.15,42.92,0.75,0.75,350,10.0,100.0,46.48,25.59,27.84,0,1.3585504584093249,0.713338971553776,122500
645,straw and stalk,0.0,5.87,75.55,18.58,45.17,5.15,42.92,0.75,0.75,450,10.0,100.0,36.34,30.38,33.37,0,1.3585504584093249,0.713338971553776,202500
646,straw and stalk,0.0,5.87,75.55,18.58,45.17,5.15,42.92,0.75,0.75,550,10.0,100.0,33.93,37.74,28.67,0,1.3585504584093249,0.713338971553776,302500
647,straw and stalk,0.0,5.87,75.55,18.58,45.17,5.15,42.92,0.75,0.75,650,10.0,50.0,30.58,37.74,31.81,0,1.3585504584093249,0.713338971553776,422500
648,straw and stalk,0.0,5.87,75.55,18.58,45.17,5.15,42.92,0.75,0.75,350,30.0,100.0,44.01,23.17,32.77,0,1.3585504584093249,0.713338971553776,122500
649,straw and stalk,0.0,5.87,75.55,18.58,45.17,5.15,42.92,0.75,0.75,450,30.0,100.0,35.83,29.75,34.44,0,1.3585504584093249,0.713338971553776,202500
650,straw and stalk,0.0,5.87,75.55,18.58,45.17,5.15,42.92,0.75,0.75,550,30.0,100.0,33.21,37.02,29.9,0,1.3585504584093249,0.713338971553776,302500
651,straw and stalk,0.0,5.87,75.55,18.58,45.17,5.15,42.92,0.75,0.75,650,30.0,50.0,29.76,36.02,34.4,0,1.3585504584093249,0.713338971553776,422500
652,corncob,6.4,1.2,76.7,15.7,52.7,6.4,40.6,0.3,0.65,300,7.0,0.0,30.3,40.15,30.12,1,1.4470648474443542,0.5783646582275719,90000
653,corncob,6.4,1.2,76.7,15.7,52.7,6.4,40.6,0.3,0.65,400,7.0,0.0,30.99,39.55,29.91,1,1.4470648474443542,0.5783646582275719,160000
654,corncob,6.4,1.2,76.7,15.7,52.7,6.4,40.6,0.3,0.65,500,7.0,0.0,27.37,41.46,31.49,1,1.4470648474443542,0.5783646582275719,250000
655,corncob,6.4,1.2,76.7,15.7,52.7,6.4,40.6,0.3,0.65,600,7.0,0.0,26.98,41.04,30.21,1,1.4470648474443542,0.5783646582275719,360000
656,corncob,6.4,1.2,76.7,15.7,52.7,6.4,40.6,0.3,0.65,700,7.0,0.0,26.05,36.32,35.74,1,1.4470648474443542,0.5783646582275719,490000
657,corncob,6.4,1.2,76.7,15.7,52.7,6.4,40.6,0.3,0.65,800,7.0,0.0,24.77,36.62,37.68,1,1.4470648474443542,0.5783646582275719,640000
658,Teak sawdust,3.87,3.53,78.17,14.43,49.17,5.93,43.87,1.03,0.18,400,10.0,150.0,37.17,42.52,20.63,1,1.43705410609773,0.6698132813695403,160000
