Index,Biomass species,M,Ash ,VM,FC,C,H,O,N,PS,FT,HR,FR,Solid phase,Liquid phase,Gas phase,FR_disponible
723,S. japonica,2.79,22.99,70.9,3.22,42.09,4.38,51.6,1.53,4.0,470,15.0,600.0,30.09,47.46,21.52,1
724,S. japonica,2.79,22.99,70.9,3.22,42.09,4.38,51.6,1.53,4.0,530,15.0,600.0,25.57,48.21,27.11,1
725,DOC,10.53,6.51,70.56,12.4,54.2,6.1,34.5,5.2,0.35,400,20.0,100.0,20.61,33.41,45.49,0
726,DOC,12.56,5.3,71.1,11.04,57.25,5.83,32.72,4.2,0.35,400,20.0,100.0,18.05,38.41,42.56,0
727,DOC,9.78,7.32,68.23,14.67,55.85,5.32,33.73,5.1,0.35,400,20.0,100.0,21.95,33.9,43.17,0
728,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,300,35.0,25.0,26.3,42.12,27.95,1
729,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,350,35.0,25.0,26.3,45.41,25.07,1
730,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,400,35.0,25.0,25.68,44.59,21.99,1
731,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,25.0,25.48,49.11,17.67,1
732,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,500,35.0,25.0,24.86,44.18,24.86,1
733,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,600,35.0,25.0,24.04,42.12,28.97,1
734,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,700,35.0,25.0,24.25,39.86,30.62,1
735,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,800,35.0,25.0,22.6,37.19,35.14,1
736,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,50.0,26.15,32.1,35.16,1
737,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,100.0,25.1,37.89,31.76,1
738,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,150.0,24.94,39.0,30.89,1
739,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,200.0,24.79,44.43,26.41,1
743,corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,460,10.0,30.2,14.0,64.2,14.9,1
744,corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,500,10.0,30.2,18.2,66.0,15.9,1
745,corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,540,10.0,30.2,20.8,64.9,21.1,1
747,Karanja seed,7.27,1.5,89.23,2.0,53.04,7.32,35.53,3.94,0.5,500,20.0,40.0,25.76,50.23,24.8,1
748,Karanja seed,7.27,1.5,89.23,2.0,53.04,7.32,35.53,3.94,0.5,525,20.0,40.0,22.19,53.15,25.06,1
749,Karanja seed,7.27,1.5,89.23,2.0,53.04,7.32,35.53,3.94,0.5,550,20.0,40.0,20.21,55.32,25.64,1
750,Karanja seed,7.27,1.5,89.23,2.0,53.04,7.32,35.53,3.94,0.5,575,20.0,40.0,18.77,51.85,29.51,1
751,Karanja seed,7.27,1.5,89.23,2.0,53.04,7.32,35.53,3.94,0.5,600,20.0,40.0,19.03,50.51,31.26,1
